OTU ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,41,42,43,44,45,46,47,48,49,50,52,53,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,79,80,81,82,83,84,86,87,88,89,90,91,92,93,95,96,97,98,99,100,101,102,103,104,105,112,113,114,115,117,118,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,157,158,159,160,161,164,166,167,169,170,171,172,173,174,175,176,177,179,180,181,182,183,185,186,187,189,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,208,209,210,211,212,213,214,215,216,217,218,219,221,222,223,224,225,226,227,228,229,231,232,233,235,236,237,238,239,240,241,243,244,245,246,247,248,249,250,251,252,253,255,256,257,258,259,260,262,263,264,266,268,269,271,272,273,275,276,279,281,282,285,286,287,290,292,294,295,296,297,299,300,301,302,303,306,307,308,309,311,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,330,331,332,333,334,335,336,337,338,340,341,343,344,345,348,349,351,352,353,355,356,358,360,361,362,363,364,366,368,369,370,371,372,373,374,375,376,377,378,379,381,382,384,385,386,388,389,390,391,396,398,400,401,406,410,412,413,414,415,416,417,418,421,438,439,442
k__Archaea;p__Euryarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
k__Bacteria;p__Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria,8,74,72,3,382,178,118,34,10,596,10,664,292,19,1114,456,469,527,750,11,841,8,5,38,12,12,26,40,13,23,10,19,1056,12,31,17,160,10,5,3,4,8,758,19,750,33,9,18,26,17,20,37,19,44,37,36,55,51,25,24,1384,23,27,108,19,38,33,119,34,7,14,24,18,16,27,36,236,22,183,27,16,4,19,10,13,17,841,17,31,50,47,54,20,44,35,79,69,27,16,32,30,1734,24,1113,16,21,18,9,27,13,31,17,37,36,36,62,29,28,20,23,175,30,26,1345,151,44,1997,49,45,77,35,57,119,1019,16,19,55,27,128,955,2637,14,2820,1233,30,23,74,37,44,35,22,13,72,16,15,25,16,14,21,28,20,77,39,37,44,42,36,26,2079,28,35,9,759,363,25,21,606,17,20,15,1643,9,9,10,316,18,18,38,717,35,27,26,35,191,27,20,35,24,10,17,30,31,29,28,21,980,14,21,25,6,39,720,48,127,29,31,55,6,9,28,19,44,30,109,24,33,20,718,433,21,103,65,33,87,484,25,8,10,8,22,30,270,13,4,85,38,12,9,12,646,32,32,33,21,26,498,2200,51,51,114,42,28,21,27,320,40,954,62,21,68,15,17,8,21,24,51,104,1162,32,65,77,30,28,17,34,8,12,27,18,18,33,21,45,10,7,11,15,30,21,13,1772,906,14,19,1097,17,24,2,10,11,16,741,22,61,31,28,8,37,307,27,24,2,8,16,58,38,18,16,612,8,8,10
k__Bacteria;p__Bacteroidetes,27779,19857,24260,29209,18669,23365,20352,26111,29065,15727,26049,21633,33903,20402,18118,16777,21240,20031,15252,30749,19683,24843,22258,20051,25660,27135,21438,20252,27344,26215,26581,23447,16341,17331,24516,24454,16424,21125,18387,16316,21564,19562,11634,29726,12178,24307,20827,23429,21855,21520,24699,32098,26206,24917,27003,23257,20485,20158,31466,27085,15591,30124,30489,24772,34259,31930,34286,25807,26342,27512,29895,28479,29261,27459,32043,30000,17553,23759,17086,23371,27655,23960,32700,26228,24920,25989,16529,20213,24905,32884,30523,23168,23161,31690,24101,24489,23618,24686,23575,20825,25372,16856,24709,14634,22812,25561,22502,22678,28576,20065,23511,23757,26560,25553,20149,22659,23551,18380,22850,18752,20455,21146,20928,14969,19061,18498,13379,22917,24600,18973,22571,27446,25608,23047,33503,28921,21033,28886,20370,16843,20965,17839,15352,18839,19346,25233,25339,24605,30048,35330,32045,31003,29217,36184,39099,33414,31370,37637,28035,29711,27870,33844,38453,35467,36684,33995,38801,36081,12366,28894,31103,33876,22615,28226,28693,25735,18674,31227,23921,33416,25003,32268,27204,25581,15364,25247,26662,40048,22640,28945,26408,24078,23012,34078,30436,28285,34451,29578,26880,29525,24023,23746,30969,31073,27716,16177,26562,26848,28410,30067,33417,23686,20944,41312,35574,26670,28573,32540,33013,36899,26942,30854,29590,14552,25735,31376,26892,20458,20889,28577,7434,12658,20323,32607,17402,14802,23701,35332,35868,30381,43513,20033,31849,30323,24622,29205,37682,45784,35806,14131,31754,23016,23554,30606,28683,25961,16275,34111,30463,32070,37614,45122,39057,43597,29396,29648,17981,29658,21050,38987,39478,35916,17567,35795,32893,28380,25220,13745,44617,35387,37095,30931,33276,27986,35743,33923,27843,29534,33886,27385,27411,29138,31468,32218,37910,32454,38137,37320,33747,39867,17858,19066,34686,30796,16167,33209,29978,27013,30389,29031,30960,17147,23075,23089,31497,31258,28037,30484,16678,34677,41593,40668,45270,37592,30438,40304,39310,31186,25645,34717,36568,39711
k__Bacteria;p__Cyanobacteria,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,3,3,1,1,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,1,5,2,0,1,0,1,2,0,0,9,0,0,1,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,0,3,0,0,3,3,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,12,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,2,2,0,0,0,0,0,0,0,3,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,8,0,0,1,1,2,2,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,1,1,1,1,0,0,1,2,2,0,2,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0
k__Bacteria;p__Firmicutes,10108,12239,10242,13574,23247,15559,11618,9919,8539,14909,8084,14272,20247,10913,20346,14067,18350,17673,10031,14756,15041,11519,11425,13581,10691,11195,14470,14488,13421,11944,12297,11883,16934,15706,13140,10907,12601,10402,10028,3639,8353,8709,15923,9988,19438,9835,6660,8699,8341,12710,12784,13471,16726,17725,14523,14250,15329,17219,16472,15500,24342,11922,11176,17854,12801,15903,12348,11696,13527,9516,11240,11955,11801,12113,11755,10928,15500,13589,17723,14346,12400,5116,12406,8917,9936,10238,23858,14186,12572,14293,14845,12989,10193,14808,13360,14772,13426,12765,15720,19257,11781,23141,13296,22683,11657,11780,10267,9447,11306,9255,13211,17550,16261,15831,11433,15053,13113,10928,7628,9236,14834,16873,13140,21569,13519,12318,24350,11974,13612,18634,14605,13173,19016,16864,14527,11771,13978,14892,19172,13067,21805,13859,23245,11783,14284,18922,21053,22704,19632,18595,13396,13301,13867,14116,10053,16004,16847,13277,13400,12107,14018,12498,10467,12148,15639,15072,9707,7173,25429,14745,12732,15494,23127,17428,13289,14900,18153,17084,17861,13347,33098,9236,10259,7399,21735,16205,13797,19246,23317,20047,14229,14384,14526,15417,13173,16025,14153,18084,13340,11126,14587,16484,17036,11725,12952,17454,9963,11644,13891,11732,15837,18621,8122,13043,12523,12690,13896,7894,9749,10694,11709,13688,14642,18841,16026,19021,13656,21442,10514,9526,7148,5969,7376,15563,17830,7288,14377,10377,9138,15689,14058,26023,20648,18126,17567,19147,20611,16587,16506,15723,16902,18557,20523,15611,21767,30164,29768,19074,18005,17356,10460,8533,11980,15427,16409,12755,17533,15267,3548,17137,8443,12139,11388,9982,12648,13825,27866,22473,13361,20878,18642,12395,12051,15304,13018,6634,20638,15573,10274,14476,16870,12288,20202,10952,9686,7431,10430,17677,14920,14919,30920,22734,11315,20892,19712,14129,15571,2905,8152,13274,12315,24363,16458,21933,17072,18487,15039,12685,18402,12580,13397,14614,12508,13301,20833,12848,11054,15628,27956,11052,11008,7552
k__Bacteria;p__Fusobacteria,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,9,6,3,2,0,3,0,1,0,276,12,97,3,2,12,0,0,0,0,0,0,1,0,0,0,0,0,227,0,0,9,0,0,0,2058,5,7,4,0,0,1,0,4,941,0,31,7,0,56,260,99,13,106,155,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,15,0,0,62,32,5,136,0,0,1,1,3,0,189,0,0,0,0,1,30,73,0,42,2784,1,1,42,0,1,0,1,2,14,1,1,3,0,1,0,0,4,0,2,0,0,0,0,0,74,2,0,0,153,154,0,0,139,0,0,0,65,0,0,0,2,1,1,0,675,0,0,0,0,0,0,0,0,28,0,1,0,0,0,2,2,107,7,1,0,0,1,1,0,0,0,0,0,11,0,40,1,0,0,58,0,0,0,26,45,0,0,7,0,71,300,4,0,0,1,0,1,3,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,69,9,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
k__Bacteria;p__OP10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria,2636,897,3249,646,770,1562,607,731,541,2843,538,4764,641,466,610,1441,682,3208,1016,252,640,247,181,324,218,327,321,408,112,286,301,294,512,427,443,662,1702,479,589,297,404,444,736,492,961,437,177,280,257,369,266,275,226,159,276,345,216,260,260,237,963,471,228,578,237,192,228,1494,274,336,480,283,189,206,314,340,2358,517,1321,726,1345,24482,3378,4342,1394,1183,2585,2000,2348,2830,2206,575,573,552,546,896,723,1249,980,612,641,2355,688,1037,639,520,309,531,868,422,984,565,632,1030,668,768,773,962,1253,703,986,706,754,1253,1456,615,446,712,876,710,421,1226,762,5994,654,579,726,1148,815,3274,2277,386,1432,4429,550,729,637,525,749,1379,738,865,998,735,742,2125,1507,772,437,719,582,823,816,736,921,945,555,306,798,905,1081,711,1958,2735,531,650,2423,674,512,653,4404,718,488,324,1083,723,975,851,919,804,1003,898,649,505,597,476,518,754,495,508,832,599,526,494,455,2751,2947,607,661,486,607,2549,7729,1907,1388,835,1535,1891,3862,2428,2149,1663,1116,3699,1015,799,1087,1286,1738,245,75,710,985,2219,1798,466,446,342,441,974,834,1442,938,688,728,761,610,819,596,2770,818,608,979,889,1158,2499,1161,1336,751,1047,1010,498,914,786,2245,896,3099,1368,265,1366,552,655,340,527,1058,1227,1251,1831,1001,1673,1233,737,816,836,692,243,713,689,462,464,1329,346,574,306,276,451,217,1022,509,1006,1732,2877,326,396,2753,337,542,289,307,523,630,2142,908,912,508,627,651,270,2775,961,1269,644,482,595,362,690,314,419,3883,257,594,443
k__Bacteria;p__Synergistetes,0,0,0,0,1,2,2,0,0,2,0,9,2,0,1,2,1,2,12,1,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,13,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,29,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,4,0,0,0,0,1,24,0,0,0,0,0,0,2,0,0,1,0,0,0,0,10,0,0,0,0,0,5,3,1,1,0,0,0,0,0,4,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,9,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,11,0,0,0
k__Bacteria;p__TM7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
