,1,2,3,4,5,6,7,10,12,8,18,9,11,19,25,27,Rare
1,NA,0.21,0.2,0.13,0.42,0.16,0.26,0.11,0.21,0.11,0.14,0.17,0.2,0.13,0.11,0.03,0.32
2,0.13,NA,0.22,0.11,0.16,0.09,0.19,0.14,0.1,0.07,0.14,0.13,0.13,0.09,0.1,0.03,0.27
3,0.14,0.16,NA,0.14,0.25,0.11,0.12,0.08,0.14,0.08,0.12,0.12,0.19,0.12,0.1,0.03,0.16
4,0.29,0.21,0.51,NA,0.45,0.51,0.47,0.07,0.14,0.41,0.28,0.2,0.81,0.44,0.11,0.01,0.52
5,0.16,0.16,0.16,0.11,NA,0.1,0.14,0.06,0.06,0.03,0.13,0.14,0.1,0.06,0.08,0.01,0.18
6,0.17,0.36,0.31,0.12,0.27,NA,0.24,0.08,0.09,0.06,0.23,0.12,0.2,0.09,0.09,0.03,0.29
7,0.17,0.14,0.15,0.07,0.19,0.1,NA,0.05,0.08,0.06,0.1,0.08,0.08,0.05,0.06,0.01,0.18
10,0.07,0.16,0.05,0.05,0.08,0.07,0.04,NA,0.03,0.04,0.04,0.05,0.04,0.04,0.03,0,0.09
12,0.18,0.21,0.16,0.1,0.14,0.09,0.09,0.06,NA,0.02,0.07,0.06,0.1,0.06,0.03,0,0.21
8,0.05,0.04,0.03,0.07,0.02,0.01,0.01,0.01,0.01,NA,0,0.01,0.01,0.01,0,0,0.06
18,0.08,0.08,0.06,0.66,0.07,0.18,0.1,0.02,0.03,0.03,NA,0.02,0.04,0.03,0.04,0,0.2
9,0.2,0.13,0.15,0.11,0.14,0.22,0.05,0.03,0.07,0.02,0.1,NA,0.08,0.03,0.06,0,0.07
11,0.23,0.24,0.12,0.29,0.14,0.18,0.07,0.05,0.06,0.03,0.04,0.05,NA,0.05,0.05,0,0.15
19,0.07,0.07,0.08,0.14,0.07,0.11,0.03,0.02,0.03,0.01,0.03,0.03,0.05,NA,0.01,0,0.07
25,0.09,0.12,0.13,0.22,0.05,0.1,0.05,0.03,0.02,0.01,0.07,0.05,0.05,0.03,NA,0,0.09
27,0.03,0.02,0.02,0.07,0.01,0.01,0.01,0,0,0,0.01,0.01,0,0,0,NA,0.02
Rare,0.17,0.19,0.2,0.1,0.23,0.1,0.35,0.12,0.23,0.09,0.42,0.13,0.22,0.07,0.18,0.03,NA
