"","value","L2","L1"
"1",2,1,1
"2",3,1,1
"3",4,1,1
"4",5,1,1
"5",6,1,1
"6",7,1,1
"7",8,1,1
"8",9,1,1
"9",11,1,1
"10",1,1,2
"11",3,1,2
"12",4,1,2
"13",5,1,2
"14",6,1,2
"15",7,1,2
"16",8,1,2
"17",9,1,2
"18",11,1,2
"19",1,2,2
"20",3,2,2
"21",4,2,2
"22",1,1,3
"23",2,1,3
"24",4,1,3
"25",5,1,3
"26",6,1,3
"27",7,1,3
"28",8,1,3
"29",9,1,3
"30",11,1,3
"31",1,1,4
"32",2,1,4
"33",3,1,4
"34",5,1,4
"35",6,1,4
"36",8,1,4
"37",9,1,4
"38",11,1,4
"39",1,2,4
"40",2,2,4
"41",3,2,4
"42",8,2,4
"43",10,2,4
"44",1,3,4
"45",2,3,4
"46",3,3,4
"47",8,3,4
"48",10,3,4
"49",11,3,4
"50",1,4,4
"51",2,4,4
"52",3,4,4
"53",5,4,4
"54",8,4,4
"55",9,4,4
"56",11,4,4
"57",1,5,4
"58",2,5,4
"59",8,5,4
"60",9,5,4
"61",11,5,4
"62",1,6,4
"63",2,6,4
"64",3,6,4
"65",8,6,4
"66",9,6,4
"67",10,6,4
"68",1,7,4
"69",2,7,4
"70",8,7,4
"71",11,7,4
"72",1,1,5
"73",3,1,5
"74",4,1,5
"75",1,2,5
"76",2,2,5
"77",3,2,5
"78",4,2,5
"79",8,2,5
"80",10,2,5
"81",1,3,5
"82",2,3,5
"83",3,3,5
"84",4,3,5
"85",1,4,5
"86",2,4,5
"87",3,4,5
"88",4,4,5
"89",10,4,5
"90",1,1,6
"91",2,1,6
"92",3,1,6
"93",4,1,6
"94",5,1,6
"95",7,1,6
"96",8,1,6
"97",9,1,6
"98",11,1,6
"99",1,2,6
"100",3,2,6
"101",4,2,6
"102",1,3,6
"103",2,3,6
"104",3,3,6
"105",4,3,6
"106",5,3,6
"107",7,3,6
"108",8,3,6
"109",9,3,6
"110",10,3,6
"111",11,3,6
"112",1,4,6
"113",2,4,6
"114",3,4,6
"115",4,4,6
"116",8,4,6
"117",11,4,6
"118",1,5,6
"119",2,5,6
"120",3,5,6
"121",4,5,6
"122",1,6,6
"123",2,6,6
"124",3,6,6
"125",4,6,6
"126",8,6,6
"127",1,7,6
"128",2,7,6
"129",3,7,6
"130",4,7,6
"131",8,7,6
"132",9,7,6
"133",11,7,6
"134",1,1,7
"135",2,1,7
"136",3,1,7
"137",4,1,7
"138",5,1,7
"139",6,1,7
"140",8,1,7
"141",9,1,7
"142",11,1,7
"143",1,2,7
"144",3,2,7
"145",4,2,7
"146",1,3,7
"147",2,3,7
"148",3,3,7
"149",4,3,7
"150",1,1,8
"151",2,1,8
"152",3,1,8
"153",4,1,8
"154",5,1,8
"155",6,1,8
"156",7,1,8
"157",9,1,8
"158",11,1,8
"159",1,2,8
"160",3,2,8
"161",4,2,8
"162",1,3,8
"163",2,3,8
"164",3,3,8
"165",4,3,8
"166",1,4,8
"167",2,4,8
"168",3,4,8
"169",4,4,8
"170",11,4,8
"171",4,1,9
"172",5,1,9
"173",6,1,9
"174",7,1,9
"175",8,1,9
"176",10,1,9
"177",11,1,9
"178",1,1,10
"179",2,1,10
"180",3,1,10
"181",4,1,10
"182",5,1,10
"183",6,1,10
"184",7,1,10
"185",8,1,10
"186",9,1,10
"187",11,1,10
"188",1,2,10
"189",3,2,10
"190",4,2,10
"191",1,1,11
"192",3,1,11
"193",4,1,11
