"","value","L2","L1"
"1",3,1,1
"2",5,1,1
"3",3,2,1
"4",5,2,1
"5",9,2,1
"6",17,2,1
"7",3,3,1
"8",5,3,1
"9",9,3,1
"10",3,4,1
"11",4,4,1
"12",5,4,1
"13",15,4,1
"14",3,5,1
"15",5,5,1
"16",15,5,1
"17",1,1,2
"18",3,1,2
"19",3,2,2
"20",5,2,2
"21",17,2,2
"22",1,3,2
"23",3,3,2
"24",4,3,2
"25",5,3,2
"26",1,4,2
"27",6,4,2
"28",13,4,2
"29",8,5,2
"30",1,1,3
"31",4,1,3
"32",6,1,3
"33",13,1,3
"34",15,1,3
"35",1,2,3
"36",6,2,3
"37",13,2,3
"38",1,3,3
"39",6,3,3
"40",13,3,3
"41",15,3,3
"42",1,1,4
"43",3,1,4
"44",3,1,5
"45",7,1,5
"46",12,1,5
"47",17,1,5
"48",3,1,6
"49",5,1,6
"50",17,1,6
"51",1,2,6
"52",3,2,6
"53",1,3,6
"54",3,3,6
"55",4,3,6
"56",5,3,6
"57",1,1,7
"58",6,1,7
"59",13,1,7
"60",1,2,7
"61",4,2,7
"62",6,2,7
"63",13,2,7
"64",15,2,7
"65",1,3,7
"66",3,3,7
"67",3,4,7
"68",5,4,7
"69",17,4,7
"70",1,5,7
"71",6,5,7
"72",13,5,7
"73",15,5,7
"74",5,6,7
"75",3,7,7
"76",5,7,7
"77",9,7,7
"78",17,7,7
"79",1,1,8
"80",3,1,8
"81",3,2,8
"82",5,2,8
"83",17,2,8
"84",1,3,8
"85",4,3,8
"86",6,3,8
"87",13,3,8
"88",15,3,8
"89",1,4,8
"90",6,4,8
"91",13,4,8
"92",6,5,8
"93",1,6,8
"94",3,6,8
"95",4,6,8
"96",5,6,8
"97",1,1,9
"98",3,1,9
"99",1,2,9
"100",6,2,9
"101",13,2,9
"102",3,3,9
"103",5,3,9
"104",17,3,9
"105",1,4,9
"106",4,4,9
"107",6,4,9
"108",13,4,9
"109",15,4,9
"110",1,5,9
"111",3,5,9
"112",4,5,9
"113",5,5,9
"114",8,6,9
"115",1,1,10
"116",3,1,10
"117",1,2,10
"118",4,2,10
"119",6,2,10
"120",13,2,10
"121",15,2,10
"122",3,3,10
"123",5,3,10
"124",17,3,10
"125",1,4,10
"126",6,4,10
"127",13,4,10
"128",1,5,10
"129",3,5,10
"130",4,5,10
"131",5,5,10
"132",1,1,11
"133",3,1,11
"134",1,2,11
"135",3,2,11
"136",4,2,11
"137",5,2,11
"138",3,3,11
"139",5,3,11
"140",17,3,11
"141",1,4,11
"142",6,4,11
"143",13,4,11
"144",1,5,11
"145",4,5,11
"146",6,5,11
"147",13,5,11
"148",15,5,11
"149",1,6,11
"150",6,6,11
"151",8,7,11
"152",1,1,12
"153",3,1,12
"154",1,2,12
"155",4,2,12
"156",6,2,12
"157",13,2,12
"158",15,2,12
"159",3,3,12
"160",5,3,12
"161",17,3,12
"162",1,4,12
"163",6,4,12
"164",13,4,12
"165",1,1,13
"166",3,1,13
"167",3,2,13
"168",5,2,13
"169",17,2,13
"170",1,3,13
"171",3,3,13
"172",4,3,13
"173",5,3,13
"174",1,4,13
"175",6,4,13
"176",1,5,13
"177",6,5,13
"178",9,5,13
"179",1,1,14
"180",3,1,14
"181",1,2,14
"182",4,2,14
"183",6,2,14
"184",13,2,14
"185",15,2,14
"186",3,3,14
"187",5,3,14
"188",17,3,14
"189",1,4,14
"190",6,4,14
"191",13,4,14
"192",1,5,14
"193",3,5,14
"194",4,5,14
"195",5,5,14
"196",8,6,14
"197",1,1,15
"198",3,1,15
"199",1,2,15
"200",4,2,15
"201",6,2,15
"202",9,2,15
"203",11,2,15
"204",13,2,15
"205",3,3,15
"206",5,3,15
"207",17,3,15
"208",1,1,16
"209",3,1,16
"210",3,2,16
"211",5,2,16
"212",17,2,16
"213",1,3,16
"214",6,3,16
"215",13,3,16
"216",1,4,16
"217",4,4,16
"218",6,4,16
"219",13,4,16
"220",15,4,16
"221",1,5,16
"222",3,5,16
"223",4,5,16
"224",5,5,16
"225",1,1,17
"226",4,1,17
"227",6,1,17
"228",13,1,17
"229",15,1,17
"230",1,2,17
"231",6,2,17
"232",13,2,17
"233",1,3,17
"234",6,3,17
"235",13,3,17
"236",15,3,17
